Nivel de ingresos mensuales netos regulares del hogar;Distribución porcentual de hogares y personas;Periodo;Total
Total;Hogares;2019;100,00
Total;Hogares;2018;100,00
Total;Hogares;2017;100,00
Total;Hogares;2016;100,00
Total;Hogares;2015;100,00
Total;Hogares;2014;100,00
Total;Hogares;2013;100,00
Total;Hogares;2012;100,00
Total;Hogares;2011;100,00
Total;Hogares;2010;100,00
Total;Hogares;2009;100,00
Total;Hogares;2008;100,00
Total;Hogares;2007;100,00
Total;Hogares;2006;100,00
Total;Personas;2019;100,00
Total;Personas;2018;100,00
Total;Personas;2017;100,00
Total;Personas;2016;100,00
Total;Personas;2015;100,00
Total;Personas;2014;100,00
Total;Personas;2013;100,00
Total;Personas;2012;100,00
Total;Personas;2011;100,00
Total;Personas;2010;100,00
Total;Personas;2009;100,00
Total;Personas;2008;100,00
Total;Personas;2007;100,00
Total;Personas;2006;100,00
Hasta 499 euros;Hogares;2019;3,18
Hasta 499 euros;Hogares;2018;3,38
Hasta 499 euros;Hogares;2017;3,78
Hasta 499 euros;Hogares;2016;4,47
Hasta 499 euros;Hogares;2015;4,64
Hasta 499 euros;Hogares;2014;5,26
Hasta 499 euros;Hogares;2013;5,52
Hasta 499 euros;Hogares;2012;4,83
Hasta 499 euros;Hogares;2011;4,18
Hasta 499 euros;Hogares;2010;3,40
Hasta 499 euros;Hogares;2009;3,05
Hasta 499 euros;Hogares;2008;3,14
Hasta 499 euros;Hogares;2007;5,40
Hasta 499 euros;Hogares;2006;6,51
Hasta 499 euros;Personas;2019;2,07
Hasta 499 euros;Personas;2018;2,46
Hasta 499 euros;Personas;2017;2,83
Hasta 499 euros;Personas;2016;3,48
Hasta 499 euros;Personas;2015;3,86
Hasta 499 euros;Personas;2014;4,29
Hasta 499 euros;Personas;2013;4,75
Hasta 499 euros;Personas;2012;3,90
Hasta 499 euros;Personas;2011;3,19
Hasta 499 euros;Personas;2010;2,46
Hasta 499 euros;Personas;2009;2,15
Hasta 499 euros;Personas;2008;1,74
Hasta 499 euros;Personas;2007;2,75
Hasta 499 euros;Personas;2006;3,18
De 500 a 999 euros;Hogares;2019;13,76
De 500 a 999 euros;Hogares;2018;16,29
De 500 a 999 euros;Hogares;2017;16,92
De 500 a 999 euros;Hogares;2016;18,32
De 500 a 999 euros;Hogares;2015;19,17
De 500 a 999 euros;Hogares;2014;20,03
De 500 a 999 euros;Hogares;2013;20,23
De 500 a 999 euros;Hogares;2012;19,80
De 500 a 999 euros;Hogares;2011;19,00
De 500 a 999 euros;Hogares;2010;19,30
De 500 a 999 euros;Hogares;2009;18,75
De 500 a 999 euros;Hogares;2008;17,71
De 500 a 999 euros;Hogares;2007;17,86
De 500 a 999 euros;Hogares;2006;19,45
De 500 a 999 euros;Personas;2019;9,48
De 500 a 999 euros;Personas;2018;11,22
De 500 a 999 euros;Personas;2017;12,22
De 500 a 999 euros;Personas;2016;13,59
De 500 a 999 euros;Personas;2015;14,52
De 500 a 999 euros;Personas;2014;15,58
De 500 a 999 euros;Personas;2013;15,44
De 500 a 999 euros;Personas;2012;14,86
De 500 a 999 euros;Personas;2011;13,48
De 500 a 999 euros;Personas;2010;13,64
De 500 a 999 euros;Personas;2009;12,74
De 500 a 999 euros;Personas;2008;11,51
De 500 a 999 euros;Personas;2007;12,19
De 500 a 999 euros;Personas;2006;13,99
De 1.000 a 1.499 euros;Hogares;2019;19,33
De 1.000 a 1.499 euros;Hogares;2018;19,41
De 1.000 a 1.499 euros;Hogares;2017;20,50
De 1.000 a 1.499 euros;Hogares;2016;21,24
De 1.000 a 1.499 euros;Hogares;2015;21,89
De 1.000 a 1.499 euros;Hogares;2014;21,94
De 1.000 a 1.499 euros;Hogares;2013;22,21
De 1.000 a 1.499 euros;Hogares;2012;21,08
De 1.000 a 1.499 euros;Hogares;2011;21,07
De 1.000 a 1.499 euros;Hogares;2010;21,09
De 1.000 a 1.499 euros;Hogares;2009;19,74
De 1.000 a 1.499 euros;Hogares;2008;20,29
De 1.000 a 1.499 euros;Hogares;2007;19,44
De 1.000 a 1.499 euros;Hogares;2006;21,52
De 1.000 a 1.499 euros;Personas;2019;16,31
De 1.000 a 1.499 euros;Personas;2018;16,77
De 1.000 a 1.499 euros;Personas;2017;17,99
De 1.000 a 1.499 euros;Personas;2016;19,28
De 1.000 a 1.499 euros;Personas;2015;20,13
De 1.000 a 1.499 euros;Personas;2014;20,23
De 1.000 a 1.499 euros;Personas;2013;20,49
De 1.000 a 1.499 euros;Personas;2012;19,51
De 1.000 a 1.499 euros;Personas;2011;19,50
De 1.000 a 1.499 euros;Personas;2010;19,33
De 1.000 a 1.499 euros;Personas;2009;17,76
De 1.000 a 1.499 euros;Personas;2008;18,00
De 1.000 a 1.499 euros;Personas;2007;17,68
De 1.000 a 1.499 euros;Personas;2006;20,47
De 1.500 a 1.999 euros;Hogares;2019;16,24
De 1.500 a 1.999 euros;Hogares;2018;16,02
De 1.500 a 1.999 euros;Hogares;2017;16,85
De 1.500 a 1.999 euros;Hogares;2016;16,94
De 1.500 a 1.999 euros;Hogares;2015;16,95
De 1.500 a 1.999 euros;Hogares;2014;17,01
De 1.500 a 1.999 euros;Hogares;2013;16,48
De 1.500 a 1.999 euros;Hogares;2012;16,80
De 1.500 a 1.999 euros;Hogares;2011;16,70
De 1.500 a 1.999 euros;Hogares;2010;18,92
De 1.500 a 1.999 euros;Hogares;2009;16,70
De 1.500 a 1.999 euros;Hogares;2008;15,90
De 1.500 a 1.999 euros;Hogares;2007;17,28
De 1.500 a 1.999 euros;Hogares;2006;18,83
De 1.500 a 1.999 euros;Personas;2019;15,98
De 1.500 a 1.999 euros;Personas;2018;15,99
De 1.500 a 1.999 euros;Personas;2017;17,00
De 1.500 a 1.999 euros;Personas;2016;16,78
De 1.500 a 1.999 euros;Personas;2015;16,89
De 1.500 a 1.999 euros;Personas;2014;17,23
