Sexo;Edad;año;Total
Hombres;0 años;2065;88,599
Hombres;0 años;2064;88,461
Hombres;0 años;2063;88,322
Hombres;0 años;2062;88,181
Hombres;0 años;2061;88,040
Hombres;0 años;2060;87,898
Hombres;0 años;2059;87,754
Hombres;0 años;2058;87,610
Hombres;0 años;2057;87,464
Hombres;0 años;2056;87,317
Hombres;0 años;2055;87,169
Hombres;0 años;2054;87,020
Hombres;0 años;2053;86,870
Hombres;0 años;2052;86,719
Hombres;0 años;2051;86,566
Hombres;0 años;2050;86,412
Hombres;0 años;2049;86,257
Hombres;0 años;2048;86,101
Hombres;0 años;2047;85,944
Hombres;0 años;2046;85,785
Hombres;0 años;2045;85,625
Hombres;0 años;2044;85,464
Hombres;0 años;2043;85,301
Hombres;0 años;2042;85,137
Hombres;0 años;2041;84,972
Hombres;0 años;2040;84,805
Hombres;0 años;2039;84,637
Hombres;0 años;2038;84,467
Hombres;0 años;2037;84,296
Hombres;0 años;2036;84,123
Hombres;0 años;2035;83,949
Hombres;0 años;2034;83,773
Hombres;0 años;2033;83,595
Hombres;0 años;2032;83,416
Hombres;0 años;2031;83,235
Hombres;0 años;2030;83,052
Hombres;0 años;2029;82,867
Hombres;0 años;2028;82,680
Hombres;0 años;2027;82,492
Hombres;0 años;2026;82,301
Hombres;0 años;2025;82,108
Hombres;0 años;2024;81,913
Hombres;0 años;2023;81,716
Hombres;0 años;2022;81,516
Hombres;0 años;2021;81,314
Hombres;0 años;2020;81,109
Hombres;0 años;2019;80,902
Hombres;0 años;2018;80,692
Hombres;0 años;2017;80,479
Hombres;0 años;2016;80,264
Hombres;1 año;2065;87,661
Hombres;1 año;2064;87,524
Hombres;1 año;2063;87,387
Hombres;1 año;2062;87,248
Hombres;1 año;2061;87,109
Hombres;1 año;2060;86,969
Hombres;1 año;2059;86,827
Hombres;1 año;2058;86,684
Hombres;1 año;2057;86,541
Hombres;1 año;2056;86,396
Hombres;1 año;2055;86,250
Hombres;1 año;2054;86,103
Hombres;1 año;2053;85,955
Hombres;1 año;2052;85,806
Hombres;1 año;2051;85,656
Hombres;1 año;2050;85,505
Hombres;1 año;2049;85,352
Hombres;1 año;2048;85,199
Hombres;1 año;2047;85,044
Hombres;1 año;2046;84,888
Hombres;1 año;2045;84,731
Hombres;1 año;2044;84,572
Hombres;1 año;2043;84,412
Hombres;1 año;2042;84,251
Hombres;1 año;2041;84,089
Hombres;1 año;2040;83,926
Hombres;1 año;2039;83,761
Hombres;1 año;2038;83,594
Hombres;1 año;2037;83,426
Hombres;1 año;2036;83,257
Hombres;1 año;2035;83,086
Hombres;1 año;2034;82,914
Hombres;1 año;2033;82,740
Hombres;1 año;2032;82,565
Hombres;1 año;2031;82,388
Hombres;1 año;2030;82,209
Hombres;1 año;2029;82,028
Hombres;1 año;2028;81,846
Hombres;1 año;2027;81,661
Hombres;1 año;2026;81,475
Hombres;1 año;2025;81,287
Hombres;1 año;2024;81,096
Hombres;1 año;2023;80,904
Hombres;1 año;2022;80,709
Hombres;1 año;2021;80,512
Hombres;1 año;2020;80,313
Hombres;1 año;2019;80,111
Hombres;1 año;2018;79,906
Hombres;1 año;2017;79,699
Hombres;1 año;2016;79,489
Hombres;2 años;2065;86,664
Hombres;2 años;2064;86,527
Hombres;2 años;2063;86,390
Hombres;2 años;2062;86,252
Hombres;2 años;2061;86,112
Hombres;2 años;2060;85,972
Hombres;2 años;2059;85,831
Hombres;2 años;2058;85,688
Hombres;2 años;2057;85,545
Hombres;2 años;2056;85,400
