Comunidad autónoma de residencia;Tamaño del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;Total;Gasto total;2019;566.814.579,02
Total Nacional;Total;Gasto total;2018;556.432.591,36
Total Nacional;Total;Gasto total;2017;540.347.372,65
Total Nacional;Total;Gasto total;2016;520.119.184,84
Total Nacional;Total;Gasto total;2015;504.799.278,82
Total Nacional;Total;Gasto total;2014;495.829.907,07
Total Nacional;Total;Gasto total;2013;494.475.216,24
Total Nacional;Total;Gasto total;2012;510.135.497,64
Total Nacional;Total;Gasto total;2011;522.381.241,02
Total Nacional;Total;Gasto total;2010;520.370.766,11
Total Nacional;Total;Gasto total;2009;525.788.850,00
Total Nacional;Total;Gasto total;2008;542.287.056,21
Total Nacional;Total;Gasto total;2007;527.605.852,54
Total Nacional;Total;Gasto total;2006;489.904.060,34
Total Nacional;Total;Distribución porcentual;2019;100,00
Total Nacional;Total;Distribución porcentual;2018;100,00
Total Nacional;Total;Distribución porcentual;2017;100,00
Total Nacional;Total;Distribución porcentual;2016;100,00
Total Nacional;Total;Distribución porcentual;2015;100,00
Total Nacional;Total;Distribución porcentual;2014;100,00
Total Nacional;Total;Distribución porcentual;2013;100,00
Total Nacional;Total;Distribución porcentual;2012;100,00
Total Nacional;Total;Distribución porcentual;2011;100,00
Total Nacional;Total;Distribución porcentual;2010;100,00
Total Nacional;Total;Distribución porcentual;2009;100,00
Total Nacional;Total;Distribución porcentual;2008;100,00
Total Nacional;Total;Distribución porcentual;2007;100,00
Total Nacional;Total;Distribución porcentual;2006;100,00
Total Nacional;Total;Gasto medio por hogar;2019;30.242,76
Total Nacional;Total;Gasto medio por hogar;2018;29.871,28
Total Nacional;Total;Gasto medio por hogar;2017;29.188,19
Total Nacional;Total;Gasto medio por hogar;2016;28.199,88
Total Nacional;Total;Gasto medio por hogar;2015;27.473,04
Total Nacional;Total;Gasto medio por hogar;2014;27.089,83
Total Nacional;Total;Gasto medio por hogar;2013;27.150,75
Total Nacional;Total;Gasto medio por hogar;2012;28.197,00
Total Nacional;Total;Gasto medio por hogar;2011;29.187,00
Total Nacional;Total;Gasto medio por hogar;2010;29.492,15
Total Nacional;Total;Gasto medio por hogar;2009;30.245,09
Total Nacional;Total;Gasto medio por hogar;2008;31.772,62
Total Nacional;Total;Gasto medio por hogar;2007;31.701,36
Total Nacional;Total;Gasto medio por hogar;2006;30.278,78
Total Nacional;Total;Gasto medio por persona;2019;12.151,50
Total Nacional;Total;Gasto medio por persona;2018;12.018,94
Total Nacional;Total;Gasto medio por persona;2017;11.726,36
Total Nacional;Total;Gasto medio por persona;2016;11.312,41
Total Nacional;Total;Gasto medio por persona;2015;10.981,77
Total Nacional;Total;Gasto medio por persona;2014;10.780,10
Total Nacional;Total;Gasto medio por persona;2013;10.715,52
Total Nacional;Total;Gasto medio por persona;2012;11.012,21
Total Nacional;Total;Gasto medio por persona;2011;11.280,88
Total Nacional;Total;Gasto medio por persona;2010;11.275,86
Total Nacional;Total;Gasto medio por persona;2009;11.439,02
Total Nacional;Total;Gasto medio por persona;2008;11.895,05
Total Nacional;Total;Gasto medio por persona;2007;11.757,59
Total Nacional;Total;Gasto medio por persona;2006;11.127,92
Total Nacional;Total;Gasto medio por unidad de consumo;2019;18.006,12
Total Nacional;Total;Gasto medio por unidad de consumo;2018;17.813,90
Total Nacional;Total;Gasto medio por unidad de consumo;2017;17.399,71
Total Nacional;Total;Gasto medio por unidad de consumo;2016;16.802,54
Total Nacional;Total;Gasto medio por unidad de consumo;2015;16.326,71
Total Nacional;Total;Gasto medio por unidad de consumo;2014;16.054,29
Total Nacional;Total;Gasto medio por unidad de consumo;2013;15.995,79
Total Nacional;Total;Gasto medio por unidad de consumo;2012;16.492,14
Total Nacional;Total;Gasto medio por unidad de consumo;2011;16.944,73
Total Nacional;Total;Gasto medio por unidad de consumo;2010;16.977,63
Total Nacional;Total;Gasto medio por unidad de consumo;2009;17.269,01
Total Nacional;Total;Gasto medio por unidad de consumo;2008;18.002,54
Total Nacional;Total;Gasto medio por unidad de consumo;2007;17.835,71
Total Nacional;Total;Gasto medio por unidad de consumo;2006;16.920,78
Total Nacional;Total;Índice sobre la media del gmp;2019;100,00
Total Nacional;Total;Índice sobre la media del gmp;2018;100,00
Total Nacional;Total;Índice sobre la media del gmp;2017;100,00
Total Nacional;Total;Índice sobre la media del gmp;2016;100,00
Total Nacional;Total;Índice sobre la media del gmp;2015;100,00
Total Nacional;Total;Índice sobre la media del gmp;2014;100,00
Total Nacional;Total;Índice sobre la media del gmp;2013;100,00
Total Nacional;Total;Índice sobre la media del gmp;2012;100,00
Total Nacional;Total;Índice sobre la media del gmp;2011;100,00
Total Nacional;Total;Índice sobre la media del gmp;2010;100,00
Total Nacional;Total;Índice sobre la media del gmp;2009;100,00
Total Nacional;Total;Índice sobre la media del gmp;2008;100,00
Total Nacional;Total;Índice sobre la media del gmp;2007;100,00
Total Nacional;Total;Índice sobre la media del gmp;2006;100,00
Total Nacional;1 miembro;Gasto total;2019;96.846.112,86
Total Nacional;1 miembro;Gasto total;2018;93.935.595,18
Total Nacional;1 miembro;Gasto total;2017;88.321.667,47
Total Nacional;1 miembro;Gasto total;2016;83.951.817,94
Total Nacional;1 miembro;Gasto total;2015;80.982.175,17
Total Nacional;1 miembro;Gasto total;2014;79.313.992,61
Total Nacional;1 miembro;Gasto total;2013;76.644.828,18
Total Nacional;1 miembro;Gasto total;2012;76.798.650,23
Total Nacional;1 miembro;Gasto total;2011;75.341.195,16
Total Nacional;1 miembro;Gasto total;2010;71.500.210,20
Total Nacional;1 miembro;Gasto total;2009;72.255.613,80
Total Nacional;1 miembro;Gasto total;2008;70.470.340,50
Total Nacional;1 miembro;Gasto total;2007;64.889.841,71
Total Nacional;1 miembro;Gasto total;2006;59.280.296,94
Total Nacional;1 miembro;Distribución porcentual;2019;17,09
Total Nacional;1 miembro;Distribución porcentual;2018;16,88
Total Nacional;1 miembro;Distribución porcentual;2017;16,35
Total Nacional;1 miembro;Distribución porcentual;2016;16,14
Total Nacional;1 miembro;Distribución porcentual;2015;16,04
Total Nacional;1 miembro;Distribución porcentual;2014;16,00
Total Nacional;1 miembro;Distribución porcentual;2013;15,50
Total Nacional;1 miembro;Distribución porcentual;2012;15,05
Total Nacional;1 miembro;Distribución porcentual;2011;14,42
Total Nacional;1 miembro;Distribución porcentual;2010;13,74
Total Nacional;1 miembro;Distribución porcentual;2009;13,74
Total Nacional;1 miembro;Distribución porcentual;2008;13,00
Total Nacional;1 miembro;Distribución porcentual;2007;12,30
Total Nacional;1 miembro;Distribución porcentual;2006;12,10
Total Nacional;1 miembro;Gasto medio por hogar;2019;19.810,39
Total Nacional;1 miembro;Gasto medio por hogar;2018;19.499,41
Total Nacional;1 miembro;Gasto medio por hogar;2017;18.670,46
Total Nacional;1 miembro;Gasto medio por hogar;2016;17.851,56
Total Nacional;1 miembro;Gasto medio por hogar;2015;17.420,58
Total Nacional;1 miembro;Gasto medio por hogar;2014;17.487,31
Total Nacional;1 miembro;Gasto medio por hogar;2013;17.377,90
Total Nacional;1 miembro;Gasto medio por hogar;2012;18.015,10
Total Nacional;1 miembro;Gasto medio por hogar;2011;18.295,56
Total Nacional;1 miembro;Gasto medio por hogar;2010;17.814,79
Total Nacional;1 miembro;Gasto medio por hogar;2009;18.492,19
Total Nacional;1 miembro;Gasto medio por hogar;2008;18.563,75
Total Nacional;1 miembro;Gasto medio por hogar;2007;17.694,69
Total Nacional;1 miembro;Gasto medio por hogar;2006;16.786,61
Total Nacional;1 miembro;Gasto medio por persona;2019;19.810,39
Total Nacional;1 miembro;Gasto medio por persona;2018;19.499,41
Total Nacional;1 miembro;Gasto medio por persona;2017;18.670,46
Total Nacional;1 miembro;Gasto medio por persona;2016;17.851,56
Total Nacional;1 miembro;Gasto medio por persona;2015;17.420,58
Total Nacional;1 miembro;Gasto medio por persona;2014;17.487,31
Total Nacional;1 miembro;Gasto medio por persona;2013;17.377,90
Total Nacional;1 miembro;Gasto medio por persona;2012;18.015,10
Total Nacional;1 miembro;Gasto medio por persona;2011;18.295,56
Total Nacional;1 miembro;Gasto medio por persona;2010;17.814,79
Total Nacional;1 miembro;Gasto medio por persona;2009;18.492,19
Total Nacional;1 miembro;Gasto medio por persona;2008;18.563,75
Total Nacional;1 miembro;Gasto medio por persona;2007;17.694,69
Total Nacional;1 miembro;Gasto medio por persona;2006;16.786,61
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2019;19.810,39
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2018;19.499,41
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2017;18.670,46
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2016;17.851,56
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2015;17.420,58
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2014;17.487,31
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2013;17.377,90
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2012;18.015,10
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2011;18.295,56
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2010;17.814,79
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2009;18.492,19
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2008;18.563,75
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2007;17.694,69
Total Nacional;1 miembro;Gasto medio por unidad de consumo;2006;16.786,61
Total Nacional;1 miembro;Índice sobre la media del gmp;2019;163,03
Total Nacional;1 miembro;Índice sobre la media del gmp;2018;162,24
Total Nacional;1 miembro;Índice sobre la media del gmp;2017;159,22
Total Nacional;1 miembro;Índice sobre la media del gmp;2016;157,81
Total Nacional;1 miembro;Índice sobre la media del gmp;2015;158,63
Total Nacional;1 miembro;Índice sobre la media del gmp;2014;162,22
Total Nacional;1 miembro;Índice sobre la media del gmp;2013;162,18
Total Nacional;1 miembro;Índice sobre la media del gmp;2012;163,59
Total Nacional;1 miembro;Índice sobre la media del gmp;2011;162,18
Total Nacional;1 miembro;Índice sobre la media del gmp;2010;157,99
Total Nacional;1 miembro;Índice sobre la media del gmp;2009;161,66
Total Nacional;1 miembro;Índice sobre la media del gmp;2008;156,06
Total Nacional;1 miembro;Índice sobre la media del gmp;2007;150,50
Total Nacional;1 miembro;Índice sobre la media del gmp;2006;150,85
Total Nacional;2 miembros;Gasto total;2019;166.706.234,12
Total Nacional;2 miembros;Gasto total;2018;163.135.337,46
Total Nacional;2 miembros;Gasto total;2017;158.739.809,15
Total Nacional;2 miembros;Gasto total;2016;153.905.954,82
Total Nacional;2 miembros;Gasto total;2015;150.144.730,61
Total Nacional;2 miembros;Gasto total;2014;150.019.523,73
Total Nacional;2 miembros;Gasto total;2013;145.942.275,03
Total Nacional;2 miembros;Gasto total;2012;146.653.597,17
Total Nacional;2 miembros;Gasto total;2011;147.283.158,61
Total Nacional;2 miembros;Gasto total;2010;142.358.410,28
Total Nacional;2 miembros;Gasto total;2009;140.798.618,29
Total Nacional;2 miembros;Gasto total;2008;140.176.463,13
Total Nacional;2 miembros;Gasto total;2007;132.892.214,60
Total Nacional;2 miembros;Gasto total;2006;118.436.730,19
Total Nacional;2 miembros;Distribución porcentual;2019;29,41
Total Nacional;2 miembros;Distribución porcentual;2018;29,32
Total Nacional;2 miembros;Distribución porcentual;2017;29,38
Total Nacional;2 miembros;Distribución porcentual;2016;29,59
Total Nacional;2 miembros;Distribución porcentual;2015;29,74
Total Nacional;2 miembros;Distribución porcentual;2014;30,26
Total Nacional;2 miembros;Distribución porcentual;2013;29,51
Total Nacional;2 miembros;Distribución porcentual;2012;28,75
Total Nacional;2 miembros;Distribución porcentual;2011;28,19
Total Nacional;2 miembros;Distribución porcentual;2010;27,36
Total Nacional;2 miembros;Distribución porcentual;2009;26,78
Total Nacional;2 miembros;Distribución porcentual;2008;25,85
Total Nacional;2 miembros;Distribución porcentual;2007;25,19
Total Nacional;2 miembros;Distribución porcentual;2006;24,18
Total Nacional;2 miembros;Gasto medio por hogar;2019;29.336,13
Total Nacional;2 miembros;Gasto medio por hogar;2018;28.909,10
Total Nacional;2 miembros;Gasto medio por hogar;2017;28.179,72
Total Nacional;2 miembros;Gasto medio por hogar;2016;27.460,99
Total Nacional;2 miembros;Gasto medio por hogar;2015;26.945,15
Total Nacional;2 miembros;Gasto medio por hogar;2014;26.826,33
Total Nacional;2 miembros;Gasto medio por hogar;2013;26.314,49
Total Nacional;2 miembros;Gasto medio por hogar;2012;26.847,65
Total Nacional;2 miembros;Gasto medio por hogar;2011;27.523,65
Total Nacional;2 miembros;Gasto medio por hogar;2010;27.431,23
Total Nacional;2 miembros;Gasto medio por hogar;2009;27.997,74
Total Nacional;2 miembros;Gasto medio por hogar;2008;28.860,24
Total Nacional;2 miembros;Gasto medio por hogar;2007;28.505,95
Total Nacional;2 miembros;Gasto medio por hogar;2006;26.547,35
Total Nacional;2 miembros;Gasto medio por persona;2019;14.668,07
Total Nacional;2 miembros;Gasto medio por persona;2018;14.454,55
Total Nacional;2 miembros;Gasto medio por persona;2017;14.089,86
Total Nacional;2 miembros;Gasto medio por persona;2016;13.730,50
Total Nacional;2 miembros;Gasto medio por persona;2015;13.472,58
Total Nacional;2 miembros;Gasto medio por persona;2014;13.413,16
Total Nacional;2 miembros;Gasto medio por persona;2013;13.157,24
Total Nacional;2 miembros;Gasto medio por persona;2012;13.423,82
Total Nacional;2 miembros;Gasto medio por persona;2011;13.761,82
Total Nacional;2 miembros;Gasto medio por persona;2010;13.715,62
Total Nacional;2 miembros;Gasto medio por persona;2009;13.998,87
Total Nacional;2 miembros;Gasto medio por persona;2008;14.430,12
Total Nacional;2 miembros;Gasto medio por persona;2007;14.252,97
Total Nacional;2 miembros;Gasto medio por persona;2006;13.273,67
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2019;19.621,89
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2018;19.337,49
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2017;18.852,09
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2016;18.374,63
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2015;18.028,96
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2014;17.948,70
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2013;17.606,77
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2012;17.956,53
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2011;18.400,74
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2010;18.338,72
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2009;18.712,19
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2008;19.279,00
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2007;19.048,81
Total Nacional;2 miembros;Gasto medio por unidad de consumo;2006;17.743,17
Total Nacional;2 miembros;Índice sobre la media del gmp;2019;120,71
Total Nacional;2 miembros;Índice sobre la media del gmp;2018;120,26
Total Nacional;2 miembros;Índice sobre la media del gmp;2017;120,16
Total Nacional;2 miembros;Índice sobre la media del gmp;2016;121,38
Total Nacional;2 miembros;Índice sobre la media del gmp;2015;122,68
Total Nacional;2 miembros;Índice sobre la media del gmp;2014;124,43
Total Nacional;2 miembros;Índice sobre la media del gmp;2013;122,79
Total Nacional;2 miembros;Índice sobre la media del gmp;2012;121,90
Total Nacional;2 miembros;Índice sobre la media del gmp;2011;121,99
Total Nacional;2 miembros;Índice sobre la media del gmp;2010;121,64
Total Nacional;2 miembros;Índice sobre la media del gmp;2009;122,38
Total Nacional;2 miembros;Índice sobre la media del gmp;2008;121,31
Total Nacional;2 miembros;Índice sobre la media del gmp;2007;121,22
Total Nacional;2 miembros;Índice sobre la media del gmp;2006;119,28
Total Nacional;3 miembros;Gasto total;2019;132.499.786,29
Total Nacional;3 miembros;Gasto total;2018;130.833.674,20
Total Nacional;3 miembros;Gasto total;2017;127.860.228,23
Total Nacional;3 miembros;Gasto total;2016;123.325.116,45
Total Nacional;3 miembros;Gasto total;2015;120.033.604,93
Total Nacional;3 miembros;Gasto total;2014;116.386.221,95
Total Nacional;3 miembros;Gasto total;2013;116.673.329,86
Total Nacional;3 miembros;Gasto total;2012;121.954.530,84
Total Nacional;3 miembros;Gasto total;2011;125.519.355,09
Total Nacional;3 miembros;Gasto total;2010;127.664.754,67
Total Nacional;3 miembros;Gasto total;2009;125.862.294,85
Total Nacional;3 miembros;Gasto total;2008;129.138.686,47
Total Nacional;3 miembros;Gasto total;2007;126.063.464,51
Total Nacional;3 miembros;Gasto total;2006;115.954.149,63
Total Nacional;3 miembros;Distribución porcentual;2019;23,38
Total Nacional;3 miembros;Distribución porcentual;2018;23,51
Total Nacional;3 miembros;Distribución porcentual;2017;23,66
Total Nacional;3 miembros;Distribución porcentual;2016;23,71
Total Nacional;3 miembros;Distribución porcentual;2015;23,78
Total Nacional;3 miembros;Distribución porcentual;2014;23,47
Total Nacional;3 miembros;Distribución porcentual;2013;23,60
Total Nacional;3 miembros;Distribución porcentual;2012;23,91
Total Nacional;3 miembros;Distribución porcentual;2011;24,03
Total Nacional;3 miembros;Distribución porcentual;2010;24,53
Total Nacional;3 miembros;Distribución porcentual;2009;23,94
Total Nacional;3 miembros;Distribución porcentual;2008;23,81
Total Nacional;3 miembros;Distribución porcentual;2007;23,89
Total Nacional;3 miembros;Distribución porcentual;2006;23,67
Total Nacional;3 miembros;Gasto medio por hogar;2019;34.212,67
Total Nacional;3 miembros;Gasto medio por hogar;2018;33.771,80
Total Nacional;3 miembros;Gasto medio por hogar;2017;33.061,33
Total Nacional;3 miembros;Gasto medio por hogar;2016;31.966,35
Total Nacional;3 miembros;Gasto medio por hogar;2015;31.149,94
Total Nacional;3 miembros;Gasto medio por hogar;2014;30.199,82
Total Nacional;3 miembros;Gasto medio por hogar;2013;30.148,73
Total Nacional;3 miembros;Gasto medio por hogar;2012;31.316,93
Total Nacional;3 miembros;Gasto medio por hogar;2011;32.366,65
Total Nacional;3 miembros;Gasto medio por hogar;2010;33.487,38
Total Nacional;3 miembros;Gasto medio por hogar;2009;33.623,64
Total Nacional;3 miembros;Gasto medio por hogar;2008;35.268,56
Total Nacional;3 miembros;Gasto medio por hogar;2007;35.441,42
Total Nacional;3 miembros;Gasto medio por hogar;2006;33.650,62
Total Nacional;3 miembros;Gasto medio por persona;2019;11.404,22
Total Nacional;3 miembros;Gasto medio por persona;2018;11.257,27
Total Nacional;3 miembros;Gasto medio por persona;2017;11.020,44
Total Nacional;3 miembros;Gasto medio por persona;2016;10.655,45
Total Nacional;3 miembros;Gasto medio por persona;2015;10.383,31
Total Nacional;3 miembros;Gasto medio por persona;2014;10.066,61
Total Nacional;3 miembros;Gasto medio por persona;2013;10.049,58
Total Nacional;3 miembros;Gasto medio por persona;2012;10.438,98
Total Nacional;3 miembros;Gasto medio por persona;2011;10.788,88
Total Nacional;3 miembros;Gasto medio por persona;2010;11.162,46
Total Nacional;3 miembros;Gasto medio por persona;2009;11.207,88
Total Nacional;3 miembros;Gasto medio por persona;2008;11.756,19
Total Nacional;3 miembros;Gasto medio por persona;2007;11.813,81
Total Nacional;3 miembros;Gasto medio por persona;2006;11.216,87
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2019;17.771,47
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2018;17.562,78
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2017;17.197,41
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2016;16.656,45
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2015;16.203,92
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2014;15.737,69
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2013;15.718,13
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2012;16.356,32
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2011;16.865,21
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2010;17.440,55
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2009;17.495,72
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2008;18.335,39
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2007;18.446,64
Total Nacional;3 miembros;Gasto medio por unidad de consumo;2006;17.476,81
Total Nacional;3 miembros;Índice sobre la media del gmp;2019;93,85
Total Nacional;3 miembros;Índice sobre la media del gmp;2018;93,66
Total Nacional;3 miembros;Índice sobre la media del gmp;2017;93,98
Total Nacional;3 miembros;Índice sobre la media del gmp;2016;94,19
Total Nacional;3 miembros;Índice sobre la media del gmp;2015;94,55
Total Nacional;3 miembros;Índice sobre la media del gmp;2014;93,38
Total Nacional;3 miembros;Índice sobre la media del gmp;2013;93,79
Total Nacional;3 miembros;Índice sobre la media del gmp;2012;94,79
Total Nacional;3 miembros;Índice sobre la media del gmp;2011;95,64
Total Nacional;3 miembros;Índice sobre la media del gmp;2010;98,99
Total Nacional;3 miembros;Índice sobre la media del gmp;2009;97,98
