Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;Total;Gasto total;2019;566.814.579,02
Total Nacional;Total;Gasto total;2018;556.432.591,36
Total Nacional;Total;Gasto total;2017;540.347.372,65
Total Nacional;Total;Gasto total;2016;520.119.184,84
Total Nacional;Total;Gasto total;2015;504.799.278,82
Total Nacional;Total;Gasto total;2014;495.829.907,07
Total Nacional;Total;Gasto total;2013;494.475.216,24
Total Nacional;Total;Gasto total;2012;510.135.497,64
Total Nacional;Total;Gasto total;2011;522.381.241,02
Total Nacional;Total;Gasto total;2010;520.370.766,11
Total Nacional;Total;Gasto total;2009;525.788.850,00
Total Nacional;Total;Gasto total;2008;542.287.056,21
Total Nacional;Total;Gasto total;2007;527.605.852,54
Total Nacional;Total;Gasto total;2006;489.904.060,34
Total Nacional;Total;Distribución porcentual;2019;100,00
Total Nacional;Total;Distribución porcentual;2018;100,00
Total Nacional;Total;Distribución porcentual;2017;100,00
Total Nacional;Total;Distribución porcentual;2016;100,00
Total Nacional;Total;Distribución porcentual;2015;100,00
Total Nacional;Total;Distribución porcentual;2014;100,00
Total Nacional;Total;Distribución porcentual;2013;100,00
Total Nacional;Total;Distribución porcentual;2012;100,00
Total Nacional;Total;Distribución porcentual;2011;100,00
Total Nacional;Total;Distribución porcentual;2010;100,00
Total Nacional;Total;Distribución porcentual;2009;100,00
Total Nacional;Total;Distribución porcentual;2008;100,00
Total Nacional;Total;Distribución porcentual;2007;100,00
Total Nacional;Total;Distribución porcentual;2006;100,00
Total Nacional;Total;Gasto medio por hogar;2019;30.242,76
Total Nacional;Total;Gasto medio por hogar;2018;29.871,28
Total Nacional;Total;Gasto medio por hogar;2017;29.188,19
Total Nacional;Total;Gasto medio por hogar;2016;28.199,88
Total Nacional;Total;Gasto medio por hogar;2015;27.473,04
Total Nacional;Total;Gasto medio por hogar;2014;27.089,83
Total Nacional;Total;Gasto medio por hogar;2013;27.150,75
Total Nacional;Total;Gasto medio por hogar;2012;28.197,00
Total Nacional;Total;Gasto medio por hogar;2011;29.187,00
Total Nacional;Total;Gasto medio por hogar;2010;29.492,15
Total Nacional;Total;Gasto medio por hogar;2009;30.245,09
Total Nacional;Total;Gasto medio por hogar;2008;31.772,62
Total Nacional;Total;Gasto medio por hogar;2007;31.701,36
Total Nacional;Total;Gasto medio por hogar;2006;30.278,78
Total Nacional;Total;Gasto medio por persona;2019;12.151,50
Total Nacional;Total;Gasto medio por persona;2018;12.018,94
Total Nacional;Total;Gasto medio por persona;2017;11.726,36
Total Nacional;Total;Gasto medio por persona;2016;11.312,41
Total Nacional;Total;Gasto medio por persona;2015;10.981,77
Total Nacional;Total;Gasto medio por persona;2014;10.780,10
Total Nacional;Total;Gasto medio por persona;2013;10.715,52
Total Nacional;Total;Gasto medio por persona;2012;11.012,21
Total Nacional;Total;Gasto medio por persona;2011;11.280,88
Total Nacional;Total;Gasto medio por persona;2010;11.275,86
Total Nacional;Total;Gasto medio por persona;2009;11.439,02
Total Nacional;Total;Gasto medio por persona;2008;11.895,05
Total Nacional;Total;Gasto medio por persona;2007;11.757,59
Total Nacional;Total;Gasto medio por persona;2006;11.127,92
Total Nacional;Total;Gasto medio por unidad de consumo;2019;18.006,12
Total Nacional;Total;Gasto medio por unidad de consumo;2018;17.813,90
Total Nacional;Total;Gasto medio por unidad de consumo;2017;17.399,71
Total Nacional;Total;Gasto medio por unidad de consumo;2016;16.802,54
Total Nacional;Total;Gasto medio por unidad de consumo;2015;16.326,71
Total Nacional;Total;Gasto medio por unidad de consumo;2014;16.054,29
Total Nacional;Total;Gasto medio por unidad de consumo;2013;15.995,79
Total Nacional;Total;Gasto medio por unidad de consumo;2012;16.492,14
Total Nacional;Total;Gasto medio por unidad de consumo;2011;16.944,73
Total Nacional;Total;Gasto medio por unidad de consumo;2010;16.977,63
Total Nacional;Total;Gasto medio por unidad de consumo;2009;17.269,01
Total Nacional;Total;Gasto medio por unidad de consumo;2008;18.002,54
Total Nacional;Total;Gasto medio por unidad de consumo;2007;17.835,71
Total Nacional;Total;Gasto medio por unidad de consumo;2006;16.920,78
Total Nacional;Total;Índice sobre la media del gmp;2019;100,00
Total Nacional;Total;Índice sobre la media del gmp;2018;100,00
Total Nacional;Total;Índice sobre la media del gmp;2017;100,00
Total Nacional;Total;Índice sobre la media del gmp;2016;100,00
Total Nacional;Total;Índice sobre la media del gmp;2015;100,00
Total Nacional;Total;Índice sobre la media del gmp;2014;100,00
Total Nacional;Total;Índice sobre la media del gmp;2013;100,00
Total Nacional;Total;Índice sobre la media del gmp;2012;100,00
Total Nacional;Total;Índice sobre la media del gmp;2011;100,00
Total Nacional;Total;Índice sobre la media del gmp;2010;100,00
Total Nacional;Total;Índice sobre la media del gmp;2009;100,00
Total Nacional;Total;Índice sobre la media del gmp;2008;100,00
Total Nacional;Total;Índice sobre la media del gmp;2007;100,00
Total Nacional;Total;Índice sobre la media del gmp;2006;100,00
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2019;101.254.774,54
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2018;100.196.436,70
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2017;95.581.732,18
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2016;90.912.831,72
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2015;85.789.981,56
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2014;84.459.672,47
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2013;79.737.905,83
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2012;77.601.075,03
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2011;72.767.486,96
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2010;67.853.849,75
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2009;65.928.141,20
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2008;63.527.598,67
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2007;57.799.765,44
Total Nacional;Persona o pareja de 65 o más años;Gasto total;2006;50.201.547,24
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2019;17,86
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2018;18,01
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2017;17,69
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2016;17,48
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2015;16,99
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2014;17,03
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2013;16,13
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2012;15,21
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2011;13,93
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2010;13,04
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2009;12,54
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2008;11,71
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2007;10,96
Total Nacional;Persona o pareja de 65 o más años;Distribución porcentual;2006;10,25
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;24.206,92
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;23.651,69
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;23.043,28
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;22.585,16
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2015;22.012,63
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2014;21.949,76
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2013;21.354,71
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2012;21.619,91
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2011;21.041,46
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2010;20.134,03
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2009;20.061,07
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2008;19.532,33
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2007;18.275,83
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2006;16.305,34
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2019;16.170,20
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2018;15.845,77
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2017;15.441,03
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2016;15.067,18
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2015;14.738,32
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2014;14.651,28
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2013;14.254,88
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2012;14.406,65
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2011;14.091,86
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2010;13.601,32
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2009;13.576,71
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2008;13.353,81
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2007;12.492,17
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por persona;2006;11.167,29
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2019;19.388,74
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2018;18.977,38
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2017;18.491,27
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2016;18.075,62
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2015;17.655,55
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2014;17.572,84
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2013;17.097,01
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2012;17.291,16
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2011;16.879,32
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2010;16.235,16
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2009;16.193,90
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2008;15.862,67
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2007;14.840,40
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por unidad de consumo;2006;13.255,84
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2019;133,07
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2018;131,84
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2017;131,68
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2016;133,19
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2015;134,21
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2014;135,91
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2013;133,03
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2012;130,82
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2011;124,92
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2010;120,62
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2009;118,69
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2008;112,26
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2007;106,25
Total Nacional;Persona o pareja de 65 o más años;Índice sobre la media del gmp;2006;100,35
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2019;126.713.710,34
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2018;123.501.549,43
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2017;116.892.643,57
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2016;114.648.895,53
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2015;113.721.161,47
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2014;113.733.039,14
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2013;111.243.543,43
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2012;113.482.193,85
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2011;118.851.187,06
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2010;115.983.284,14
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2009;118.428.312,03
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2008;118.451.634,44
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2007;111.721.703,93
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto total;2006;102.818.280,94
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2019;22,36
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2018;22,20
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2017;21,63
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2016;22,04
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2015;22,53
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2014;22,94
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2013;22,50
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2012;22,25
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2011;22,75
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2010;22,29
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2009;22,52
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2008;21,84
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2007;21,18
Total Nacional;Otros hogares con una persona o pareja sin hijos;Distribución porcentual;2006;20,99
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;25.671,00
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;25.485,23
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;24.536,00
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;23.519,08
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2015;23.081,17
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2014;23.216,89
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2013;22.925,06
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2012;23.761,60
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2011;25.107,80
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2010;25.272,59
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2009;26.446,18
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2008;27.713,33
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2007;27.936,52
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2006;26.767,65
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2019;17.878,64
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2018;17.582,57
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2017;16.932,56
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2016;16.231,17
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2015;15.840,58
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2014;15.811,66
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2013;15.517,92
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2012;16.026,51
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2011;16.734,77
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2010;16.769,08
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2009;17.504,52
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2008;18.223,82
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2007;18.529,34
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por persona;2006;17.687,21
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2019;21.077,68
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2018;20.808,85
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2017;20.037,22
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2016;19.207,04
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2015;18.787,39
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2014;18.811,75
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2013;18.507,89
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2012;19.142,18
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2011;20.083,53
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2010;20.160,85
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2009;21.065,77
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2008;21.988,43
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2007;22.280,67
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por unidad de consumo;2006;21.300,04
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2019;147,13
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2018;146,29
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2017;144,40
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2016;143,48
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2015;144,24
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2014;146,67
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2013;144,82
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2012;145,53
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2011;148,35
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2010;148,72
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2009;153,02
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2008;153,21
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2007;157,59
Total Nacional;Otros hogares con una persona o pareja sin hijos;Índice sobre la media del gmp;2006;158,94
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2019;109.844.493,93
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2018;111.119.939,10
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2017;108.288.636,62
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2016;106.611.263,62
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2015;101.065.299,63
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2014;100.349.671,60
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2013;101.445.948,05
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2012;104.343.169,85
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2011;106.083.350,00
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2010;104.942.464,64
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto total;2009;102.990.859,26
