Tipo de hogar;Gastos totales, medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2015;4.125,43
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2014;4.028,21
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2013;4.098,35
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2012;4.140,68
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2011;4.149,20
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2010;4.192,12
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2009;4.317,23
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2008;4.576,92
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2007;4.459,67
Total;Gasto medio por hogar;Grupo 1. Alimentos y bebidas no alcohólicas ;2006;4.308,67
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2015;522,64
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2014;509,85
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2013;533,82
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2012;578,68
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2011;606,08
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2010;617,91
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2009;619,29
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2008;613,16
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2007;597,01
Total;Gasto medio por hogar;Grupo 2. Bebidas alcohólicas, tabaco y narcóticos;2006;559,07
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2015;1.395,27
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2014;1.375,75
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2013;1.348,38
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2012;1.403,10
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2011;1.544,77
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2010;1.654,10
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2009;1.743,99
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2008;1.942,64
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2007;2.075,51
Total;Gasto medio por hogar;Grupo 3. Artículos de vestir y calzado;2006;2.056,19
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2015;8.709,88
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2014;8.746,96
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2013;8.963,51
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2012;9.089,21
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2011;9.155,04
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2010;8.871,49
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2009;8.906,85
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2008;8.644,86
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2007;8.124,40
Total;Gasto medio por hogar;Grupo 4. Vivienda, agua, electricidad, gas y otros combustibles;2006;7.529,99
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;1.164,95
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;1.099,99
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2013;1.147,28
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2012;1.239,88
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2011;1.371,88
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2010;1.432,91
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2009;1.525,54
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2008;1.644,30
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2007;1.792,77
Total;Gasto medio por hogar;Grupo 5. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2006;1.795,16
Total;Gasto medio por hogar;Grupo 6. Salud;2015;971,98
Total;Gasto medio por hogar;Grupo 6. Salud;2014;954,74
Total;Gasto medio por hogar;Grupo 6. Salud;2013;869,91
Total;Gasto medio por hogar;Grupo 6. Salud;2012;896,72
Total;Gasto medio por hogar;Grupo 6. Salud;2011;894,71
Total;Gasto medio por hogar;Grupo 6. Salud;2010;932,74
Total;Gasto medio por hogar;Grupo 6. Salud;2009;956,15
Total;Gasto medio por hogar;Grupo 6. Salud;2008;1.009,45
Total;Gasto medio por hogar;Grupo 6. Salud;2007;942,01
