Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Total;Total (tipo de hogar);Total;2019;18.580,0
Total;Total (tipo de hogar);Total;2018;18.503,5
Total;Total (tipo de hogar);Total;2017;18.441,4
Total;Total (tipo de hogar);Total;2016;18.378,7
Total;Total (tipo de hogar);Total;2015;18.328,4
Total;Total (tipo de hogar);Total;2014;18.252,9
Total;Total (tipo de hogar);Menos de 3 habitaciones;2019;280,5
Total;Total (tipo de hogar);Menos de 3 habitaciones;2018;277,1
Total;Total (tipo de hogar);Menos de 3 habitaciones;2017;287,5
Total;Total (tipo de hogar);Menos de 3 habitaciones;2016;301,2
Total;Total (tipo de hogar);Menos de 3 habitaciones;2015;313,1
Total;Total (tipo de hogar);Menos de 3 habitaciones;2014;305,7
Total;Total (tipo de hogar);Entre 3 y 6 habitaciones;2019;15.269,2
Total;Total (tipo de hogar);Entre 3 y 6 habitaciones;2018;15.311,0
Total;Total (tipo de hogar);Entre 3 y 6 habitaciones;2017;15.250,7
Total;Total (tipo de hogar);Entre 3 y 6 habitaciones;2016;15.047,1
Total;Total (tipo de hogar);Entre 3 y 6 habitaciones;2015;14.964,3
Total;Total (tipo de hogar);Entre 3 y 6 habitaciones;2014;14.862,7
Total;Total (tipo de hogar);7 o más habitaciones;2019;3.030,4
Total;Total (tipo de hogar);7 o más habitaciones;2018;2.915,4
Total;Total (tipo de hogar);7 o más habitaciones;2017;2.903,3
Total;Total (tipo de hogar);7 o más habitaciones;2016;3.030,3
Total;Total (tipo de hogar);7 o más habitaciones;2015;3.051,0
Total;Total (tipo de hogar);7 o más habitaciones;2014;3.084,4
Total;Hogar unipersonal;Total;2019;4.771,4
Total;Hogar unipersonal;Total;2018;4.705,4
Total;Hogar unipersonal;Total;2017;4.663,8
Total;Hogar unipersonal;Total;2016;4.611,1
Total;Hogar unipersonal;Total;2015;4.563,4
Total;Hogar unipersonal;Total;2014;4.480,4
Total;Hogar unipersonal;Menos de 3 habitaciones;2019;183,4
Total;Hogar unipersonal;Menos de 3 habitaciones;2018;182,5
Total;Hogar unipersonal;Menos de 3 habitaciones;2017;187,9
Total;Hogar unipersonal;Menos de 3 habitaciones;2016;202,8
Total;Hogar unipersonal;Menos de 3 habitaciones;2015;210,4
Total;Hogar unipersonal;Menos de 3 habitaciones;2014;199,0
Total;Hogar unipersonal;Entre 3 y 6 habitaciones;2019;4.055,4
Total;Hogar unipersonal;Entre 3 y 6 habitaciones;2018;4.020,7
Total;Hogar unipersonal;Entre 3 y 6 habitaciones;2017;3.964,9
Total;Hogar unipersonal;Entre 3 y 6 habitaciones;2016;3.899,2
Total;Hogar unipersonal;Entre 3 y 6 habitaciones;2015;3.868,5
Total;Hogar unipersonal;Entre 3 y 6 habitaciones;2014;3.798,3
Total;Hogar unipersonal;7 o más habitaciones;2019;532,6
Total;Hogar unipersonal;7 o más habitaciones;2018;502,2
Total;Hogar unipersonal;7 o más habitaciones;2017;511,1
Total;Hogar unipersonal;7 o más habitaciones;2016;509,2
Total;Hogar unipersonal;7 o más habitaciones;2015;484,5
Total;Hogar unipersonal;7 o más habitaciones;2014;483,2
Total;Hogar monoparental;Total;2019;1.886,8
